1362 EG , Osbellum joins the Gothioan Military
1361 EG , Osignis Defends the Capital of Gothoia, saving the King
1361 EG , Osiginis Declines Kings offer of a Perstigous Military Position
1361 EG , Osiginis Settles in his home town of Devieon
1360 EG , Osiginis Meets Yiena
1358 EG , Osiginis and Yiena get Married
1357 EG , Torria Os is Born
1354 EG , Osiginis Meets his Father, Kelemvor Lord of Death, for the First Time
1354 EG , Osiginis Declines Kelemvors offer to Lead the Army of Dead
1353 EG , Obellum Meets Tempus Lord of Battles and his Father
1353 EG , Obellum Joins the Warroir Army of his Father
1351 EG , War of the Gods Starts
1349 EG , The Battle of Devieon Occurs
1349 EG , Osiginis' Family is Captured by an Unknown Side of the War
1349 EG , Obellum Offers Osignis to join the Side of Warriors
1349 EG , Osignis Joins The Army of Warriors to Rescue his Family, and Take Revenge for thir Capture
1348 EG , Osmetallum Crafts Death's Blade for Osignis
1344 EG , The Battle of Hell's Gate Occurs
1344 EG , The Cease Fire Between Osiginis and Kelemvor Occurs
1344 EG , Osiginis Learns that his Family was Captured by Tempus
1344 EG , Tempus Fails to kill Osignis
1344 EG , Osbellum Takes Leadership of The Warriors Army from Osignis
1344 EG , Osiginis Takes leadership of the Army of the Dead
1347 EG , Second Battle of Devieon Occurs
1347 EG , Tempus and Kelemvor Break Death's Blade, and Bind Osignis to a Demon
1347 EG , The War of the Gods Ends
1347 EG , Osmetellum is thought to be Killed
1348 EG , Osignis Goes into Hiding
504 EG , The Atheria Empire is Formed
0 AK , Kerlin is Born
24 AK , Kerlin Defeats the Gods
61 AK , Kerlin Dies
68 AK , Newport Family is Founded
78 AK , Atheria Conquers Kingdom of Dwarves
82 AK , Atheria Conquers Kingdom of Gothoia
102 AK , Atheria Creates the Colony of Dende
103 AK , Nommaria is Formed
109 AK , Gemia Formally Founded
111 AK , Nokede Conquers all lesser Clans
116 AK , War for the New World is fought
138 AK , Nommaria Mysteriously Dissolves
141 AK , The Atheria Capital is Mysteriouly Destroyed
141 AK , The Atheria Empire Erupts in Civil War
144 AK , The Atheria Civil War Ends
144 AK , Hende is Reformed Taking the Kingdom of Dwarves Territory
144 AK , Dende Gains Independence
144 AK , Kingdom of Gothoia is Reformed
148 AK , Nokede Civil War Starts
152 AK , Nokede Civil War Ends
